Rk,Player,Tm,,,,,,,,
240,Willie Cauley-Stein\caulewi01,DAL,,,,,,,,
241,James Bouknight\bouknja01,CHO,,,,,,,,
242,Josh Okogie\okogijo01,MIN,,,,,,,,
243,Grayson Allen\allengr01,MIL,,,,,,,,
244,Tyrese Haliburton\halibty01,SAC,,,,,,,,
245,Chandler Hutchison\hutchch01,SAS,,,,,,,,
246,Tyler Herro\herroty01,MIA,,,,,,,,
247,Terence Davis\daviste02,SAC,,,,,,,,
248,George Hill\hillge01,MIL,,,,,,,,
249,Dorian Finney-Smith\finnedo01,DAL,,,,,,,,
250,Gorgui Dieng\dienggo01,ATL,,,,,,,,
251,Aaron Holiday\holidaa01,WAS,,,,,,,,
252,Joshua Primo\primojo01,SAS,,,,,,,,
253,Jake Layman\laymaja01,MIN,,,,,,,,
254,Anfernee Simons\simonan01,POR,,,,,,,,
255,Justise Winslow\winslju01,LAC,,,,,,,,
256,Jevon Carter\carteje01,BRK,,,,,,,,
257,Kira Lewis Jr.\lewiski01,NOP,,,,,,,,
258,Romeo Langford\langfro01,BOS,,,,,,,,
259,Facundo Campazzo\campafa01,DEN,,,,,,,,
260,Landry Shamet\shamela01,PHO,,,,,,,,
261,Chris Duarte\duartch01,IND,,,,,,,,
262,Alex Len\lenal01,SAC,,,,,,,,
263,Gabriel Deck\deckga01,OKC,,,,,,,,
264,Robert Williams\williro04,BOS,,,,,,,,
265,Aaron Nesmith\nesmiaa01,BOS,,,,,,,,
266,Moses Moody\moodymo01,GSW,,,,,,,,
267,Boban Marjanović\marjabo01,DAL,,,,,,,,
268,Mike Muscala\muscami01,OKC,,,,,,,,
269,Cole Anthony\anthoco01,ORL,,,,,,,,
270,Corey Kispert\kispeco01,WAS,,,,,,,,
271,Trey Burke\burketr01,DAL,,,,,,,,
272,Georges Niang\niangge01,PHI,,,,,,,,
273,Chuma Okeke\okekech01,ORL,,,,,,,,
274,Isaiah Stewart\stewais01,DET,,,,,,,,
275,Nickeil Alexander-Walker\alexani01,NOP,,,,,,,,
276,Alperen Şengün\sengual01,HOU,,,,,,,,
277,Nicolas Batum\batumni01,LAC,,,,,,,,
278,Jon Leuer\leuerjo01,MIL,,,,,,,,
279,Aleksej Pokusevski\pokusal01,OKC,,,,,,,,
280,Goga Bitadze\bitadgo01,IND,,,,,,,,
281,Trey Murphy III\murphtr02,NOP,,,,,,,,
282,Sterling Brown\brownst02,DAL,,,,,,,,
283,Michael Carter-Williams\cartemi01,ORL,,,,,,,,
284,Frank Jackson\jacksfr01,DET,,,,,,,,
285,Luka Šamanić\samanlu01,SAS,,,,,,,,
286,Josh Green\greenjo02,DAL,,,,,,,,
287,Tre Mann\manntr01,OKC,,,,,,,,
288,Dewayne Dedmon\dedmode01,DET,,,,,,,,
289,Andrew Nicholson\nichoan01,POR,,,,,,,,
290,Matisse Thybulle\thybuma01,PHI,,,,,,,,
291,Saddiq Bey\beysa01,DET,,,,,,,,
292,Kai Jones\joneska01,CHO,,,,,,,,
293,Brandon Clarke\clarkbr01,MEM,,,,,,,,
294,Precious Achiuwa\achiupr01,TOR,,,,,,,,
295,Jalen Johnson\johnsja05,ATL,,,,,,,,
296,E'Twaun Moore\mooreet01,ORL,,,,,,,,
297,Udonis Haslem\hasleud01,MIA,,,,,,,,
298,Markieff Morris\morrima02,MIA,,,,,,,,
299,DeAndre Jordan\jordade01,LAL,,,,,,,,
300,Rajon Rondo\rondora01,LAL,,,,,,,,
301,Dwight Howard\howardw01,LAL,,,,,,,,
302,Wayne Ellington\ellinwa01,LAL,,,,,,,,
303,Trevor Ariza\arizatr01,LAL,,,,,,,,
304,Carmelo Anthony\anthoca01,LAL,,,,,,,,
305,Andre Iguodala\iguodan01,GSW,,,,,,,,
306,Paul Millsap\millspa01,BRK,,,,,,,,
307,LaMarcus Aldridge\aldrila01,BRK,,,,,,,,
308,Blake Griffin\griffbl01,BRK,,,,,,,,
309,James Johnson\johnsja01,BRK,,,,,,,,
310,Enes Freedom\kanteen01,BOS,,,,,,,,
311,Avery Bradley\bradlav01,LAL,,,,,,,,
312,Ed Davis\davised01,CLE,,,,,,,,
313,Grant Williams\willigr01,BOS,,,,,,,,
314,Tyrese Maxey\maxeyty01,PHI,,,,,,,,
315,Keon Johnson\johnske07,LAC,,,,,,,,
316,Darius Bazley\bazleda01,OKC,,,,,,,,
317,Trey Lyles\lylestr01,DET,,,,,,,,
318,Zeke Nnaji\nnajize01,DEN,,,,,,,,
319,Isaiah Jackson\jacksis01,IND,,,,,,,,
320,Ty Jerome\jeromty01,OKC,,,,,,,,
321,Hassan Whiteside\whiteha01,UTA,,,,,,,,
322,Andre Drummond\drumman01,PHI,,,,,,,,
323,Kent Bazemore\bazemke01,LAL,,,,,,,,
324,Austin Rivers\riverau01,DEN,,,,,,,,
325,Cory Joseph\josepco01,DET,,,,,,,,
326,Tony Snell\snellto01,POR,,,,,,,,
327,Cody Zeller\zelleco01,POR,,,,,,,,
328,Ben McLemore\mclembe01,POR,,,,,,,,
329,Victor Oladipo\oladivi01,MIA,,,,,,,,
330,Dewayne Dedmon\dedmode01,MIA,,,,,,,,
331,Otto Porter Jr.\porteot01,GSW,,,,,,,,
332,Solomon Hill\hillso01,ATL,,,,,,,,
333,Leandro Bolmaro\bolmale01,MIN,,,,,,,,
334,Usman Garuba\garubus01,HOU,,,,,,,,
335,Willy Hernangómez\hernawi01,NOP,,,,,,,,
336,Nassir Little\littlna01,POR,,,,,,,,
337,R.J. Hampton\hamptrj01,ORL,,,,,,,,
338,Josh Christopher\chrisjo01,HOU,,,,,,,,
339,Monta Ellis\ellismo01,IND,,,,,,,,
340,Elfrid Payton\paytoel01,PHO,,,,,,,,
341,Rodney Hood\hoodro01,MIL,,,,,,,,
342,Jabari Parker\parkeja01,BOS,,,,,,,,
343,Dylan Windler\windldy01,CLE,,,,,,,,
344,Immanuel Quickley\quickim01,NYK,,,,,,,,
345,John Konchar\konchjo01,MEM,,,,,,,,
346,Quentin Grimes\grimequ01,NYK,,,,,,,,
347,Jordan Poole\poolejo01,GSW,,,,,,,,
348,Bol Bol\bolbo01,DEN,,,,,,,,
349,Keldon Johnson\johnske04,SAS,,,,,,,,
350,Payton Pritchard\pritcpa01,BOS,,,,,,,,
351,Kevin Porter Jr.\porteke02,HOU,,,,,,,,
352,Gary Clark\clarkga01,DEN,,,,,,,,
353,Bones Hyland\hylanbo01,DEN,,,,,,,,
354,Raul Neto\netora01,WAS,,,,,,,,
355,Frank Kaminsky\kaminfr01,PHO,,,,,,,,
356,Nemanja Bjelica\bjeline01,GSW,,,,,,,,
357,Udoka Azubuike\azubuud01,UTA,,,,,,,,
358,Jaden McDaniels\mcdanja02,MIN,,,,,,,,
359,Malachi Flynn\flynnma01,TOR,,,,,,,,
360,Cam Thomas\thomaca02,BRK,,,,,,,,
361,Desmond Bane\banede01,MEM,,,,,,,,
362,Jaden Springer\sprinja01,PHI,,,,,,,,
363,Day'Ron Sharpe\sharpda01,BRK,,,,,,,,
364,DeMarcus Cousins\couside01,MIL,,,,,,,,
365,Jeremiah Robinson-Earl\robinje02,OKC,,,,,,,,
366,Abdel Nader\naderab01,PHO,,,,,,,,
367,Théo Maledon\maledth01,OKC,,,,,,,,
368,Kenrich Williams\willike04,OKC,,,,,,,,
369,Santi Aldama\aldamsa01,MEM,,,,,,,,
370,Damian Jones\jonesda03,SAC,,,,,,,,
371,Wesley Matthews\matthwe02,MIL,,,,,,,,
372,Rodney McGruder\mcgruro01,DET,,,,,,,,
373,DeAndre' Bembry\bembrde01,BRK,,,,,,,,
374,Gary Payton II\paytoga02,GSW,,,,,,,,
375,Timothé Luwawu-Cabarrot\luwawti01,ATL,,,,,,,,
376,Damion Lee\leeda03,GSW,,,,,,,,
377,Larry Sanders\sandela01,MIL,,,,,,,,
378,Shake Milton\miltosh01,PHI,,,,,,,,
379,Wes Iwundu\iwundwe01,CHO,,,,,,,,
380,Mitchell Robinson\robinmi01,NYK,,,,,,,,
381,Jalen Brunson\brunsja01,DAL,,,,,,,,
382,Semi Ojeleye\ojelese01,MIL,,,,,,,,
383,Malik Monk\monkma01,LAL,,,,,,,,
384,Frank Ntilikina\ntilila01,DAL,,,,,,,,
385,Tony Bradley\bradlto01,CHI,,,,,,,,
386,Dennis Smith Jr.\smithde03,POR,,,,,,,,
387,Denzel Valentine\valende01,CLE,,,,,,,,
388,Didi Louzada\louzama01,NOP,,,,,,,,
389,Daniel Gafford\gaffoda01,WAS,,,,,,,,
390,Terance Mann\mannte01,LAC,,,,,,,,
391,Eric Paschall\pascher01,UTA,,,,,,,,
392,KZ Okpala\okpalkz01,MIA,,,,,,,,
393,Cody Martin\martico01,CHO,,,,,,,,
394,Nic Claxton\claxtni01,BRK,,,,,,,,
395,Bruno Fernando\fernabr01,BOS,,,,,,,,
396,Luguentz Dort\dortlu01,OKC,,,,,,,,
397,Miye Oni\onimi01,UTA,,,,,,,,
398,Isaiah Roby\robyis01,OKC,,,,,,,,
399,Naz Reid\reidna01,MIN,,,,,,,,
400,Jaylen Nowell\nowelja01,MIN,,,,,,,,
401,Vlatko Čančar\cancavl01,DEN,,,,,,,,
402,Dean Wade\wadede01,CLE,,,,,,,,
403,Jalen McDaniels\mcdanja01,CHO,,,,,,,,
404,Drew Eubanks\eubandr01,SAS,,,,,,,,
405,Chimezie Metu\metuch01,SAC,,,,,,,,
406,Yuta Watanabe\watanyu01,TOR,,,,,,,,
407,Svi Mykhailiuk\mykhasv01,TOR,,,,,,,,
408,Keita Bates-Diop\bateske01,SAS,,,,,,,,
409,Moritz Wagner\wagnemo01,ORL,,,,,,,,
410,Thanasis Antetokounmpo\antetth01,MIL,,,,,,,,
411,Isaac Bonga\bongais01,TOR,,,,,,,,
412,Wayne Selden\seldewa01,NYK,,,,,,,,
413,Isaiah Hartenstein\harteis01,LAC,,,,,,,,
414,Brad Wanamaker\wanambr01,IND,,,,,,,,
415,Alize Johnson\johnsal02,CHI,,,,,,,,
416,Juan Toscano-Anderson\toscaju01,GSW,,,,,,,,
417,Oshae Brissett\brissos01,IND,,,,,,,,
418,Kelan Martin\martike03,IND,,,,,,,,
419,Moses Brown\brownmo01,DAL,,,,,,,,
420,Isaiah Hartenstein\harteis01,CLE,,,,,,,,
421,Herbert Jones\joneshe01,NOP,,,,,,,,
422,Jordan McLaughlin\mclaujo01,MIN,,,,,,,,
423,Javonte Green\greenja02,CHI,,,,,,,,
424,Max Strus\strusma01,MIA,,,,,,,,
425,Gabe Vincent\vincega01,MIA,,,,,,,,
426,Kevin Pangos\pangoke01,CLE,,,,,,,,
427,Matt Thomas\thomama02,CHI,,,,,,,,
428,Xavier Tillman Sr.\tillmxa01,MEM,,,,,,,,
429,Tyrell Terry\terryty01,DAL,,,,,,,,
430,Vernon Carey Jr.\careyve01,CHO,,,,,,,,
431,Robert Woodard II\woodaro01,SAC,,,,,,,,
432,Elijah Hughes\hugheel01,UTA,,,,,,,,
433,Tre Jones\jonestr01,SAS,,,,,,,,
434,Jahmi'us Ramsey\ramseja01,SAC,,,,,,,,
435,CJ Elleby\ellebcj01,POR,,,,,,,,
436,Isaiah Joe\joeis01,PHI,,,,,,,,
437,Naji Marshall\marshna01,NOP,,,,,,,,
438,Jordan Nwora\nworajo01,MIL,,,,,,,,
439,Daniel Oturu\oturuda01,MEM,,,,,,,,
440,Deividas Sirvydis\sirvyde01,DET,,,,,,,,
441,Nick Richards\richani01,CHO,,,,,,,,
442,Sam Merrill\merrisa01,MEM,,,,,,,,
443,Anthony Gill\gillan01,WAS,,,,,,,,
444,Paul Reed\reedpa01,PHI,,,,,,,,
445,Kenyon Martin Jr.\martike04,HOU,,,,,,,,
446,Jae'Sean Tate\tateja01,HOU,,,,,,,,
447,Lamar Stevens\stevela01,CLE,,,,,,,,
448,Isaiah Todd\toddis01,WAS,,,,,,,,
449,Saben Lee\leesa01,DET,,,,,,,,
450,Omer Yurtseven\yurtsom01,MIA,,,,,,,,
451,Armoni Brooks\brookar01,HOU,,,,,,,,
452,Jaylen Morris\morrija01,SAS,,,,,,,,
453,J.R. Smith\smithjr01,CLE,,,,,,,,
454,Danuel House Jr.\houseda01,HOU,,,,,,,,
455,Gary Clark\clarkga01,NOP,,,,,,,,
456,George Hill\hillge01,PHI,,,,,,,,
457,DeMarre Carroll\carrode01,SAS,,,,,,,,
458,JT Thor\thorjt01,CHO,,,,,,,,
459,Garrison Mathews\mathega01,HOU,,,,,,,,
460,Jason Preston\prestja01,LAC,,,,,,,,
461,Isaiah Livers\liveris01,DET,,,,,,,,
462,Guerschon Yabusele\yabusgu01,BOS,,,,,,,,
463,Kyle Singler\singlky01,OKC,,,,,,,,
464,Jared Butler\butleja02,UTA,,,,,,,,
465,Greg Brown III\browngr01,POR,,,,,,,,
466,Miles McBride\mcbrimi01,NYK,,,,,,,,
467,Brandon Boston Jr.\bostobr01,LAC,,,,,,,,
468,Marko Simonovic\simonma01,CHI,,,,,,,,
469,Vit Krejci\krejcvi01,OKC,,,,,,,,
470,Charles Bassey\bassech01,PHI,,,,,,,,
471,Dalano Banton\bantoda01,TOR,,,,,,,,
472,Jock Landale\landajo01,SAS,,,,,,,,
473,Ayo Dosunmu\dosunay01,CHI,,,,,,,,
474,Denzel Mahoney\mahonde01,SAS,,,,,,,,
475,Austin Reaves\reaveau01,LAL,,,,,,,,
476,Luka Garza\garzalu01,DET,,,,,,,,
477,Shaun Livingston\livinsh01,GSW,,,,,,,,
478,Georgios Kalaitzakis\kalaige01,MIL,,,,,,,,
479,Sam Dekker\dekkesa01,TOR,,,,,,,,
480,Admiral Schofield\schofad01,OKC,,,,,,,,
481,Ish Wainright\wainris01,TOR,,,,,,,,
482,Darren Collison\collida01,LAL,,,,,,,,
483,Ersan İlyasova\ilyaser01,CHI,,,,,,,,
484,Al-Farouq Aminu\aminual01,BOS,,,,,,,,
485,Joe Johnson\johnsjo02,BOS,,,,,,,,
486,C.J. Miles\milescj01,BOS,,,,,,,,
487,Brandon Knight\knighbr03,DAL,,,,,,,,
488,Lance Stephenson\stephla01,ATL,,,,,,,,
489,Isaiah Thomas\thomais02,LAL,,,,,,,,
490,Tyler Johnson\johnsty01,PHI,,,,,,,,
491,Tim Frazier\fraziti01,ORL,,,,,,,,
